rho_A,sigma,seed,R2_ridge,R2_mlp,R2_gap,Rhat_ridge,Rhat_mlp,Rhat_gap,drop_S_ridge,drop_E_ridge,drop_S_mlp,drop_E_mlp
0.5,0.05,1.0,0.8450300693511963,0.5354791283607483,-0.309550940990448,0.0939284382595541,0.0375653434229828,-0.0563630948365712,0.1726287404696146,1.6652463873227437,0.0460626582304636,1.1801382501920064
0.5,0.05,2.0,0.8449435830116272,0.5320067405700684,-0.3129368424415588,0.0937918175814797,0.0374890751781031,-0.0563027424033765,0.1724605957667032,1.6662989060084026,0.0458706816037495,1.1777039567629497
0.5,0.1,0.0,0.8132479190826416,0.5098510384559631,-0.3033968806266784,0.0953998905403597,0.03837999952228,-0.0570198910180797,0.172067662080129,1.6315786639849346,0.0462103188037872,1.1578105092048645
0.5,0.1,1.0,0.8134810924530029,0.5158734321594238,-0.2976076602935791,0.095537476670629,0.0385954549724591,-0.0569420216981698,0.172477384408315,1.6328600645065308,0.0464300711949666,1.15656316280365
0.5,0.1,2.0,0.81341552734375,0.5118285417556763,-0.3015869855880737,0.0953836072237497,0.0380931063478276,-0.057290500875922,0.1722382108370463,1.633504052956899,0.0457046627998352,1.1541098753611247
0.5,0.2,0.0,0.6977501511573792,0.4338808059692383,-0.2638693451881408,0.1016478171669896,0.0413119771226575,-0.060335840044332,0.1711140076319376,1.5122867027918498,0.0460393329461415,1.0683913032213848
0.5,0.2,1.0,0.6980297565460205,0.4342633485794067,-0.2637664079666137,0.1019580209883388,0.041511538459274,-0.0604464825290647,0.171844204266866,1.5135965545972188,0.0462283690770467,1.0673986077308657
0.5,0.2,2.0,0.6981090307235718,0.429919958114624,-0.2681890726089477,0.1017237012839828,0.0412665130682327,-0.0604571882157501,0.1714660127957662,1.5141393144925437,0.0458596150080362,1.065443754196167
0.5,0.35,0.0,0.449237585067749,0.2771346569061279,-0.1721029281616211,0.1186337567565864,0.0506016392217985,-0.0680321175347879,0.1690897544225057,1.2562191883722942,0.0465148041645685,0.8727203210194906
0.5,0.35,1.0,0.4493354856967926,0.2716647088527679,-0.1776707768440246,0.1190514367305233,0.0507597863472771,-0.0682916503832462,0.1698445876439412,1.256804198026657,0.0465271174907684,0.8700866202513377
0.5,0.35,2.0,0.4499351680278778,0.2838979959487915,-0.1660371720790863,0.1187787437340769,0.0501797857738683,-0.0685989579602085,0.1695472995440165,1.257873922586441,0.0460237811009089,0.8711539308230082
0.7,0.0,0.0,0.8447502255439758,0.4847320318222046,-0.3600181937217712,0.1737339756524626,0.0798758572636031,-0.0938581183888594,0.3191611170768738,1.5179068247477214,0.0922456681728363,1.0626172820727031
0.7,0.0,1.0,0.8450274467468262,0.4847877919673919,-0.3602396547794342,0.1737709864536472,0.0805532065211205,-0.0932177799325267,0.3193048636118571,1.5181990265846252,0.0930127302805582,1.0616617302099864
0.7,0.0,2.0,0.8449680209159851,0.4911201000213623,-0.3538479208946228,0.1734743182564013,0.0799237477178718,-0.0935505705385294,0.3189983169237773,1.5198808908462524,0.0920599897702535,1.0597877701123557
0.7,0.05,0.0,0.834376871585846,0.4802666902542114,-0.3541101813316345,0.1745816971097805,0.0802940513250567,-0.0942876457847237,0.3188123106956482,1.5073373715082805,0.0921085576216379,1.055031935373942
0.7,0.05,1.0,0.8346365690231323,0.4811980128288269,-0.3534385561943054,0.1746351849011198,0.0809379821042887,-0.093697202796831,0.3190674384435017,1.5079838434855144,0.0929008722305297,1.0549022952715557
0.7,0.05,2.0,0.8346114158630371,0.4846603870391845,-0.3499510288238525,0.1743614195517422,0.0805257610956582,-0.0938356584560839,0.3187127709388733,1.509173075358073,0.0921457807223002,1.052156110604604
0.7,0.1,0.0,0.8039863109588623,0.4649963080883026,-0.3389900028705597,0.177201214949079,0.08193406311502,-0.095267151834059,0.31796795129776,1.4764212767283122,0.0921903848648071,1.0329873661200206
0.7,0.1,1.0,0.8043062090873718,0.4619532823562622,-0.3423529267311096,0.1773338002161822,0.0827185770248143,-0.0946152231913678,0.3184600075085957,1.477362374464671,0.0930767953395843,1.0321455995241802
