rho_A,sigma,alpha,beta,pool_dim,seed,R2_ridge,R2_mlp,R2_gap,Rhat_ridge,Rhat_mlp,Rhat_gap,drop_S_ridge,drop_E_ridge,drop_S_mlp,drop_E_mlp
0.5,0.1,0.0,0.3,1024,2,0.9628011584281921,0.5091174840927124,-0.45368367433547974,0.08089277108199353,0.011629741132262091,-0.06926302994973144,0.15697085857391357,1.7835098107655842,0.012191245953241983,1.0360905528068542
0.5,0.1,0.0,0.6,64,0,0.4767208695411682,0.3443606495857239,-0.13236021995544434,0.04775687947820705,0.02072406449719287,-0.027032814981014182,0.04591870307922363,0.9155910015106201,0.014492104450861612,0.6847966114679972
0.5,0.1,0.0,0.6,64,1,0.4735244810581207,0.3365398645401001,-0.13698461651802063,0.04912203660690394,0.020305948986948995,-0.028816087619954942,0.046678771575291954,0.9035825530687968,0.013577143351236979,0.6550517082214355
0.5,0.1,0.0,0.6,64,2,0.47483155131340027,0.34005603194236755,-0.13477551937103271,0.050687558349677045,0.02176922572347068,-0.028918332626206366,0.048449933528900146,0.907404621442159,0.014687558015187582,0.6600060760974884
0.5,0.1,0.0,0.6,128,0,0.5935195088386536,0.3991587460041046,-0.19436076283454895,0.043372015480319895,0.018529260660477706,-0.02484275481984219,0.05174203713734945,1.1412400404612224,0.014843126138051351,0.7862210075060526
0.5,0.1,0.0,0.6,128,1,0.5909926295280457,0.3970734775066376,-0.19391915202140808,0.04362911410709878,0.01901232866034895,-0.024616785446749827,0.05191115538279215,1.137917160987854,0.015369832515716553,0.7930441598097483
0.5,0.1,0.0,0.6,128,2,0.5938245058059692,0.3991634249687195,-0.19466108083724976,0.04337841292434209,0.018643773197019393,-0.024734639727322694,0.05160858233769735,1.1381210287412007,0.014832615852355957,0.7807475328445435
0.5,0.1,0.0,0.6,512,0,0.9827103614807129,0.5890248417854309,-0.393685519695282,0.01607602468352368,0.014084539148420607,-0.0019914855351030724,0.030784447987874348,1.8841446836789448,0.016204237937927246,1.134294033050537
0.5,0.1,0.0,0.6,512,1,0.9826893210411072,0.5867666602134705,-0.3959226608276367,0.016188571441002716,0.01399165677842591,-0.0021969146625768054,0.031047920385996502,1.8868433833122253,0.01602025826772054,1.128966252009074
0.5,0.1,0.0,0.6,512,2,0.9827213287353516,0.5876678824424744,-0.3950534462928772,0.016188687314071113,0.014203421209741966,-0.001985266104329147,0.03102940320968628,1.8857043385505676,0.016304949919382732,1.1316543817520142
