nl_S,nl_E,seed,rho,sigma,d,n,R2_ridge,R2_mlp,R2_gap,Rhat_ridge,Rhat_mlp,Rhat_gap,Ehat_ridge,Ehat_mlp,Ehat_gap,drop_S_ridge,drop_E_ridge,drop_S_mlp,drop_E_mlp,info_rms_lin_S,info_rms_lin_E,info_rms_res_S,info_rms_res_E,info_rms_noise,info_rms_Snext,info_v_S
0.5,1.0,4,0.7,0.3,16,8000,0.5975067615509033,0.5755013823509216,-0.02200537919998169,0.5198595273595685,0.5160098853818103,-0.003849641977758278,0.48014047264043136,0.48399011461818975,0.003849641977758389,0.6246203464455903,0.5768972050709029,0.6153649712602297,0.5771799560620517,1.022224549247996,1.0036613627378226,1.0222245492458715,1.003661362734887,0.2999295611365,1.8486609287618432,2.1372549019607843
1.0,0.0,0,0.7,0.3,16,8000,0.6438404321670532,0.6203778982162476,-0.023462533950805664,0.5175791499040655,0.5190472081924737,0.001468058288408236,0.48242085009593433,0.48095279180752637,-0.0014680582884079585,0.6663371900096535,0.6210740013668935,0.6644138126323621,0.6156505093512048,1.0246741636792256,1.0082319505926318,1.0246741636769088,1.008231950589687,0.3006815359583377,1.7884423051897018,2.1372549019607843
1.0,0.0,1,0.7,0.3,16,8000,0.6143831014633179,0.5938377380371094,-0.020545363426208496,0.561037984582291,0.5632992057001189,0.002261221117827894,0.43896201541770885,0.436700794299881,-0.0022612211178278385,0.6967097776631515,0.545113052179416,0.6983675306042035,0.5414132529248794,1.0222359595607802,0.9215448572519856,1.0222359595584574,0.9215448572490494,0.29913744275123993,1.7442218539183556,2.1372549019607843
1.0,0.0,2,0.7,0.3,16,8000,0.6412314772605896,0.6192806363105774,-0.021950840950012207,0.5098298955586924,0.5101317004147374,0.00030180485604502927,0.49017010444130765,0.4898682995852626,-0.00030180485604502927,0.6575697811165203,0.6322129225751268,0.6515837252760927,0.625701581138613,1.022779599847016,1.0114765096584162,1.0227795998448759,1.0114765096553426,0.30069175165640477,1.7904130848178759,2.1372549019607843
1.0,0.0,3,0.7,0.3,16,8000,0.6364545226097107,0.6130046844482422,-0.023449838161468506,0.530556373560403,0.5308186564180657,0.0002622828576627212,0.46944362643959703,0.46918134358193414,-0.0002622828576628877,0.6704346502820651,0.5932098627090454,0.664684563005964,0.5875030814359585,1.0224696995565625,0.9757386699426752,1.0224696995542875,0.9757386699397798,0.3003490954080528,1.7716356833749014,2.1372549019607843
1.0,0.0,4,0.7,0.3,16,8000,0.6442038416862488,0.9551115036010742,0.31090766191482544,0.5202586269586289,0.6796416530876139,0.15938302612898503,0.47974137304137116,0.320358346912386,-0.15938302612898514,0.6730962706108888,0.6206761643523351,1.3085002879301706,0.6167794267336527,1.022224549247996,1.0036613627378226,1.0222245492458715,1.003661362734887,0.2999295611365,1.7888135969874195,2.1372549019607843
1.0,0.5,0,0.7,0.3,16,8000,0.5969131588935852,0.5735086798667908,-0.023404479026794434,0.5170287987061183,0.5178596634468775,0.0008308647407592185,0.48297120129388166,0.48214033655312244,-0.0008308647407592185,0.6196662976716956,0.5788477874671419,0.6194860725353162,0.5767570725901654,1.0246741636792256,1.0082319505926318,1.0246741636769088,1.008231950589687,0.3006815359583377,1.8575094843754354,2.1372549019607843
1.0,0.5,1,0.7,0.3,16,8000,0.5748240351676941,0.5530585646629333,-0.021765470504760742,0.562002485988284,0.5624280312376185,0.00042554524933458016,0.43799751401171605,0.43757196876238164,-0.0004255452493344136,0.6519622559348742,0.5081078010300796,0.6493525139987468,0.5051996738960346,1.0222359595607802,0.9215448572519856,1.0222359595584574,0.9215448572490494,0.29913744275123993,1.804674233504807,2.1372549019607843
1.0,0.5,2,0.7,0.3,16,8000,0.5934702157974243,0.5702545642852783,-0.023215651512145996,0.5092019376331867,0.5080022059744255,-0.001199731658761194,0.4907980623668134,0.49199779402557453,0.0011997316587611384,0.6065250869762774,0.5846037013301005,0.6000747556487719,0.5811696338273274,1.022779599847016,1.0114765096584162,1.0227795998448759,1.0114765096553426,0.30069175165640477,1.8598235981235618,2.1372549019607843
1.0,0.5,3,0.7,0.3,16,8000,0.5900010466575623,0.5663436651229858,-0.023657381534576416,0.5301181083403295,0.5297717240454074,-0.00034638429492206413,0.4698818916596707,0.4702282759545925,0.0003463842949217866,0.6224541370446484,0.5517259697119395,0.6173665625353654,0.5479779330543049,1.0224696995565625,0.9757386699426752,1.0224696995542875,0.9757386699397798,0.3003490954080528,1.8367092906020135,2.1372549019607843
1.0,0.5,4,0.7,0.3,16,8000,0.5941239595413208,0.5700901746749878,-0.024033784866333008,0.5180609397469483,0.5183580689301044,0.00029712918315605297,0.4819390602530516,0.48164193106989545,-0.000297129183156164,0.6184752576363584,0.5753519742303372,0.6151540450751781,0.571581692143809,1.022224549247996,1.0036613627378226,1.0222245492458715,1.003661362734887,0.2999295611365,1.8582210566851574,2.1372549019607843
1.0,1.0,0,0.7,0.3,16,8000,0.4874275326728821,0.46386510133743286,-0.02356243133544922,0.5166179853887345,0.5156266550409948,-0.0009913303477396829,0.48338201461126545,0.48437334495900514,0.0009913303477396829,0.508641689720874,0.47591886393104993,0.5067268934100866,0.47601301822190484,1.0246741636792256,1.0082319505926318,1.0246741636769088,1.008231950589687,0.3006815359583377,2.0519315103560545,2.1372549019607843
1.0,1.0,1,0.7,0.3,16,8000,0.48164573311805725,0.4591776430606842,-0.022468090057373047,0.5624741974846504,0.5611172178323536,-0.0013569796522968636,0.4375258025153496,0.43888278216764637,0.0013569796522967525,0.5465140859285991,0.42511108083029586,0.5437855290869872,0.4253266489133239,1.0222359595607802,0.9215448572519856,1.0222359595584574,0.9215448572490494,0.29913744275123993,1.9738314934226335,2.1372549019607843
1.0,1.0,2,0.7,0.3,16,8000,0.48629820346832275,0.461822509765625,-0.024475693702697754,0.5088027420984274,0.5059140832375959,-0.00288865886083145,0.49119725790157265,0.4940859167624042,0.002888658860831561,0.49629718729799305,0.4791244176468657,0.48937316512068113,0.4779317218849125,1.022779599847016,1.0114765096584162,1.0227795998448759,1.0114765096553426,0.30069175165640477,2.055200959220232,2.1372549019607843
1.0,1.0,3,0.7,0.3,16,8000,0.4847862124443054,0.46050429344177246,-0.02428191900253296,0.5296545762005407,0.5282638410784812,-0.00139073512205945,0.47034542379945926,0.4717361589215187,0.00139073512205945,0.512994314233462,0.45555072867621976,0.5088987203935782,0.45444323266274295,1.0224696995565625,0.9757386699426752,1.0224696995542875,0.9757386699397798,0.3003490954080528,2.020975511422188,2.1372549019607843
1.0,1.0,4,0.7,0.3,16,8000,0.485061913728714,0.4610844552516937,-0.023977458477020264,0.5162498082914475,0.5130843090754288,-0.003165499216018719,0.4837501917085525,0.4869156909245711,0.003165499216018608,0.504318843052412,0.4725703198152284,0.4985454302902023,0.4731183323155468,1.022224549247996,1.0036613627378226,1.0222245492458715,1.003661362734887,0.2999295611365,2.051776053026392,2.1372549019607843
